name,rating,vicinity,type,arrondissement,latitude,longitude,user_ratings_total,zip_code
Veille voiture,4,"Péniche Saint Paul, Port des Champs-Élysées, Paris",park,1er,48.863546,2.321012999999999,1,75001
Djassi Elvina deumb,Note non disponible,"422 Rue Saint-Honoré, Paris",park,1er,48.8683254,2.32375,Aucune évaluation,75001
Le champ de mes morts,Note non disponible,"141 Rue Saint-Martin, Paris",park,1er,48.8614976,2.3513551,Aucune évaluation,75001
Fontaine des Fleuves,4.7,"Place de la Concorde, Paris",park,1er,48.8660276,2.321506600000001,117,75001
Saint James Albany Paris Hôtel Spa,4,"202 Rue de Rivoli, Paris",restaurant,1er,48.86501200000001,2.330710499999999,1065,75001
Castille Paris,4.4,"33-37 Rue Cambon, Paris",restaurant,1er,48.8683896,2.326849,651,75001
Le Relais Saint Germain,4.3,"9 Carrefour de l'Odéon, Paris",restaurant,1er,48.8519758,2.3388494,179,75001
Grand Hôtel du Palais Royal,4.6,"4 Rue de Valois, Paris",restaurant,1er,48.8631306,2.3379051,574,75001
Pavillon Faubourg Saint-Germain & Spa,4.7,"5 Rue du Pré aux Clercs, Paris",restaurant,1er,48.8564689,2.3303746,278,75001
Bouillon Chartier Grands Boulevards,4.1,"7 Rue du Faubourg Montmartre, Paris",restaurant,1er,48.87193329999999,2.3430535,23016,75001
Costes,4,"7 Rue de Castiglione, Paris",restaurant,1er,48.86628049999999,2.3279734,2628,75001
Hard Rock Cafe Paris,4.3,"14 Boulevard Montmartre, Paris",restaurant,1er,48.8719442,2.3416045,16028,75001
Angelina,4.3,"226 Rue de Rivoli, Paris",restaurant,1er,48.86508979999999,2.3284434,14957,75001
Le Grand Colbert,4.2,"2 Rue Vivienne, Paris",restaurant,1er,48.8666252,2.3390047,2657,75001
Café de la Paix,4.2,"5 Place de l'Opéra, Paris",restaurant,1er,48.8708719,2.3317623,5568,75001
Comptoir de la Gastronomie,4.4,"34 Rue Montmartre, Paris",restaurant,1er,48.86455280000001,2.345431,2631,75001
Le Procope,4.4,"13 Rue de l'Ancienne Comédie, Paris",restaurant,1er,48.85299130000001,2.3387975,14695,75001
Le Grand Véfour,4.3,"17 Rue de Beaujolais, Paris",restaurant,1er,48.8661299,2.3379859,954,75001
Au Pied de Cochon,4.3,"6 Rue Coquillière, Paris",restaurant,1er,48.86351759999999,2.3437221,14362,75001
Benoit Paris,4.2,"20 Rue Saint-Martin, Paris",restaurant,1er,48.8584202,2.3500687,1929,75001
Buddha-Bar,4,"8-12 Rue Boissy d'Anglas, Paris",restaurant,1er,48.8680915,2.3216457,5233,75001
Bel Ami Café,4.3,"7 Rue Saint-Benoît, Paris",restaurant,1er,48.85496689999999,2.3331708,50,75001
